"name","region","country","date","Value"
Confirmed Cases,Europe & Central Asia,Netherlands,2021-03-01 00:00:00,3783.0000
Confirmed Cases,East Asia & Pacific,New Zealand,2021-03-01 00:00:00,4.0000
Confirmed Cases,Latin America & The Caribbean,Nicaragua,2021-03-01 00:00:00,0.0000
Confirmed Cases,Sub-Saharan Africa,Niger,2021-03-01 00:00:00,0.0000
Confirmed Cases,Sub-Saharan Africa,Nigeria,2021-03-01 00:00:00,360.0000
Confirmed Cases,Europe & Central Asia,North Macedonia,2021-03-01 00:00:00,233.0000
Confirmed Cases,Europe & Central Asia,Norway,2021-03-01 00:00:00,729.0000
Confirmed Cases,Middle East & North Africa,Oman,2021-03-01 00:00:00,312.0000
Confirmed Cases,South Asia,Pakistan,2021-03-01 00:00:00,1163.0000
Confirmed Cases,Latin America & The Caribbean,Panama,2021-03-01 00:00:00,505.0000
Confirmed Cases,East Asia & Pacific,Papua New Guinea,2021-03-01 00:00:00,90.0000
Confirmed Cases,Latin America & The Caribbean,Paraguay,2021-03-01 00:00:00,974.0000
Confirmed Cases,South Asia,Afghanistan,2021-03-01 00:00:00,19.0000
Confirmed Cases,Europe & Central Asia,Albania,2021-03-01 00:00:00,764.0000
Confirmed Cases,Middle East & North Africa,Algeria,2021-03-01 00:00:00,163.0000
Confirmed Cases,Europe & Central Asia,Andorra,2021-03-01 00:00:00,23.0000
Confirmed Cases,Sub-Saharan Africa,Angola,2021-03-01 00:00:00,47.0000
Confirmed Cases,Latin America & The Caribbean,Antigua and Barbuda,2021-03-01 00:00:00,39.0000
Confirmed Cases,Latin America & The Caribbean,Argentina,2021-03-01 00:00:00,4658.0000
Confirmed Cases,Europe & Central Asia,Armenia,2021-03-01 00:00:00,158.0000
Confirmed Cases,East Asia & Pacific,Australia,2021-03-01 00:00:00,8.0000
Confirmed Cases,Europe & Central Asia,Austria,2021-03-01 00:00:00,1409.0000
Confirmed Cases,Europe & Central Asia,Azerbaijan,2021-03-01 00:00:00,125.0000
Confirmed Cases,Latin America & The Caribbean,Bahamas,2021-03-01 00:00:00,0.0000
Confirmed Cases,Middle East & North Africa,Bahrain,2021-03-01 00:00:00,645.0000
Confirmed Cases,South Asia,Bangladesh,2021-03-01 00:00:00,585.0000
Confirmed Cases,Latin America & The Caribbean,Barbados,2021-03-01 00:00:00,47.0000
Confirmed Cases,Europe & Central Asia,Belarus,2021-03-01 00:00:00,961.0000
Confirmed Cases,Europe & Central Asia,Belgium,2021-03-01 00:00:00,783.0000
Confirmed Cases,Latin America & The Caribbean,Belize,2021-03-01 00:00:00,20.0000
Confirmed Cases,Sub-Saharan Africa,Benin,2021-03-01 00:00:00,0.0000
Confirmed Cases,South Asia,Bhutan,2021-03-01 00:00:00,0.0000
Confirmed Cases,Latin America & The Caribbean,Bolivia,2021-03-01 00:00:00,757.0000
Confirmed Cases,Latin America & The Caribbean,Bosnia and Herzegovina,2021-03-01 00:00:00,0.0000
Confirmed Cases,Sub-Saharan Africa,Botswana,2021-03-01 00:00:00,2356.0000
Confirmed Cases,Latin America & The Caribbean,Brazil,2021-03-01 00:00:00,35742.0000
Confirmed Cases,East Asia & Pacific,Brunei,2021-03-01 00:00:00,0.0000
Confirmed Cases,Europe & Central Asia,Bulgaria,2021-03-01 00:00:00,2588.0000
Confirmed Cases,Sub-Saharan Africa,Burkina Faso,2021-03-01 00:00:00,48.0000
Confirmed Cases,Sub-Saharan Africa,Burma,2021-03-01 00:00:00,20.0000
Confirmed Cases,Sub-Saharan Africa,Burundi,2021-03-01 00:00:00,8.0000
Confirmed Cases,Sub-Saharan Africa,Cabo Verde,2021-03-01 00:00:00,32.0000
